stop,out1,out2,out3,out4,out5,out6,out7,out8,out9,out10,out11,out12,out13,out14,out15,out16,out17,out18,out19,out20,out21,out22,out23,out24,out25,out26,out27,out28,out29
Silo & Center Island,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:40,1:10,1:40,2:10,2:40,3:10,3:40,4:10,4:40,5:10,5:40,6:10,6:40,7:10,7:40,8:10,8:40,9:40
La Rue & Orchard,7:02,7:32,8:02,8:32,9:02,9:32,10:02,10:32,11:02,11:32,12:02,12:42,1:12,1:42,2:12,2:42,3:12,3:42,4:12,4:42,5:12,5:42,6:12,6:42,7:12,7:42,8:12,8:42,9:42
Anderson & Russell,7:04,7:34,8:04,8:34,9:04,9:34,10:04,10:34,11:04,11:34,12:04,12:44,1:14,1:44,2:14,2:44,3:14,3:44,4:14,4:44,5:14,5:44,6:14,6:44,7:14,7:44,8:14,8:44,9:44
Anderson & Sunset,7:05,7:35,8:05,8:35,9:05,9:35,10:05,10:35,11:05,11:35,12:05,12:45,1:15,1:45,2:15,2:45,3:15,3:45,4:15,4:45,5:15,5:45,6:15,6:45,7:15,7:45,8:15,8:45,9:45
8th & Sycamore,7:06,7:36,8:06,8:36,9:06,9:36,10:06,10:36,11:06,11:36,12:06,12:46,1:16,1:46,2:16,2:46,3:16,3:46,4:16,4:46,5:16,5:46,6:16,6:46,7:16,7:46,8:16,8:46,9:46
Wake Forest & 8th Street,7:08,7:38,8:08,8:38,9:08,9:38,10:08,10:38,11:08,11:38,12:08,12:48,1:18,1:48,2:18,2:48,3:18,3:48,4:18,4:48,5:18,5:48,6:18,6:48,7:18,7:48,8:18,8:48,9:48
Wake Forest & Oxford,7:09,7:39,8:09,8:39,9:09,9:39,10:09,10:39,11:09,11:39,12:09,12:49,1:19,1:49,2:19,2:49,3:19,3:49,4:19,4:49,5:19,5:49,6:19,6:49,7:19,7:49,8:19,8:49,9:49
Sycamore & Wake Forest,7:10,7:40,8:10,8:40,9:10,9:40,10:10,10:40,11:10,11:40,12:10,12:50,1:20,1:50,2:20,2:50,3:20,3:50,4:20,4:50,5:20,5:50,6:20,6:50,7:20,7:50,8:20,8:50,9:50
La Rue & Orchard,7:14,7:44,8:14,8:44,9:14,9:44,10:14,10:44,11:14,11:44,12:14,12:54,1:24,1:54,2:24,2:54,3:24,3:54,4:24,4:54,5:24,5:54,6:24,6:54,7:24,7:54,8:24,8:54,9:54
Hutchison & Bioletti,7:18,7:48,8:18,8:48,9:18,9:48,10:18,10:48,11:18,11:48,12:18,12:58,1:28,1:58,2:28,2:58,3:28,3:58,4:28,4:58,5:28,5:58,6:28,6:58,7:28,7:58,8:28,8:58,9:58
Silo & Center Island,7:20,7:50,8:20,8:50,9:20,9:50,10:20,10:50,11:20,11:50,12:20,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,10:00